Thumb;Name;Purchase After Return;SKU;URL;Brand;Country;Revenue;Lost profit;Sales;Price with WB wallet;Comments Valuation;Comments;Days in website;First Date
https://basket-27.wbbasket.ru/vol4885/part488519/488519304/images/c246x328/1.webp;Домашний проектор для фильмов;73;488519304;https://www.wildberries.ru/catalog/488519304/detail.aspx;;Китай;819051;531276,32;89;8764;4,6;23;120;02.09.2025
https://basket-26.wbbasket.ru/vol4657/part465724/465724134/images/c246x328/1.webp;Проектор для фильмов;73;465724134;https://www.wildberries.ru/catalog/465724134/detail.aspx;TK technology;Китай;815307;2026620,26;68;10878;4,8;40;150;03.08.2025
https://basket-25.wbbasket.ru/vol4429/part442958/442958106/images/c246x328/1.webp;Проектор для фильмов TY 0-20;73;442958106;https://www.wildberries.ru/catalog/442958106/detail.aspx;;Китай;813894;6824188,15;183;4049;4,8;2220;197;17.06.2025
https://basket-30.wbbasket.ru/vol5912/part591278/591278599/images/c246x328/1.webp;Проектор для фильмов домашний на стену 4K UltraHD;73;591278599;https://www.wildberries.ru/catalog/591278599/detail.aspx;UNICOM;;810774;1339539,65;130;6698;5;17;52;09.11.2025
https://basket-27.wbbasket.ru/vol4981/part498108/498108678/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр;73;498108678;https://www.wildberries.ru/catalog/498108678/detail.aspx;Lieblich Hause (Haz);Китай;808592;922078,6;195;4753;4,8;60;133;20.08.2025
https://basket-22.wbbasket.ru/vol3917/part391710/391710528/images/c246x328/1.webp;Проектор для фильмов Mozart 1 Pro, Android 11, 2Гб+16Гб;73;391710528;https://www.wildberries.ru/catalog/391710528/detail.aspx;Wanbo;Китай;786100;172942;25;30838;4,6;270;182;02.07.2025
https://basket-20.wbbasket.ru/vol3442/part344269/344269406/images/c246x328/1.webp;Проектор для фильмов домашний на стену Full HD U10;73;344269406;https://www.wildberries.ru/catalog/344269406/detail.aspx;Технологик;Китай;782808;2754324,44;96;7399;4,8;2172;297;09.03.2025
https://basket-14.wbbasket.ru/vol2180/part218033/218033739/images/c246x328/1.webp;Проектор для фильмов с телефона портативный HY320;73;218033739;https://www.wildberries.ru/catalog/218033739/detail.aspx;Inside Market;Китай;782665;507674,59;210;4126;4,2;102;648;23.03.2024
https://basket-22.wbbasket.ru/vol3777/part377788/377788880/images/c246x328/1.webp;Лазерный проектор - светомузыка.;81;377788880;https://www.wildberries.ru/catalog/377788880/detail.aspx;Wizard Ultra;Китай;778355;19622,39;495;1556;4,9;135;270;05.04.2025
https://basket-26.wbbasket.ru/vol4817/part481712/481712807/images/c246x328/1.webp;Проектор для фильмов;73;481712807;https://www.wildberries.ru/catalog/481712807/detail.aspx;M&N;Китай;776689;1011161,15;207;3698;4,7;66;135;18.08.2025
https://basket-29.wbbasket.ru/vol5661/part566190/566190925/images/c246x328/1.webp;Проектор для фильмов на стену домашний кинотеатр;73;566190925;https://www.wildberries.ru/catalog/566190925/detail.aspx;ZEON;;764930;2691420,37;147;5727;4,9;494;77;15.10.2025
https://basket-19.wbbasket.ru/vol3204/part320484/320484819/images/c246x328/1.webp;Проектор для фильмов;70;320484819;https://www.wildberries.ru/catalog/320484819/detail.aspx;;Китай;761686;604868,29;131;6208;4,9;402;331;03.02.2025
https://basket-29.wbbasket.ru/vol5788/part578863/578863570/images/c246x328/1.webp;Проектор для фильмов 4k;73;578863570;https://www.wildberries.ru/catalog/578863570/detail.aspx;LokeStar;Китай;758132;582333,28;124;5055;4,9;57;68;24.10.2025
https://basket-27.wbbasket.ru/vol5041/part504124/504124252/images/c246x328/1.webp;Ночник-проектор Северное сияние;73;504124252;https://www.wildberries.ru/catalog/504124252/detail.aspx;ТЕХНАРЁВ;Китай;756201;175683,06;278;3096;4,8;61;126;27.08.2025
https://basket-25.wbbasket.ru/vol4440/part444058/444058751/images/c246x328/1.webp;Проектор для фильмов и игр с джойстиками домашний кинотеатр;73;444058751;https://www.wildberries.ru/catalog/444058751/detail.aspx;Ru Store;Китай;749847;469904,12;149;5042;4,6;630;197;17.06.2025
https://basket-12.wbbasket.ru/vol1890/part189020/189020304/images/c246x328/1.webp;Домашний проектор для фильмов;73;189020304;https://www.wildberries.ru/catalog/189020304/detail.aspx;YALY;Китай;749799;774792,3;140;5482;4,7;976;771;21.11.2023
https://basket-22.wbbasket.ru/vol3778/part377890/377890590/images/c246x328/1.webp;Проектор скорости на лобовое стекло;79;377890590;https://www.wildberries.ru/catalog/377890590/detail.aspx;LuxAuto;Китай;747634;723516,77;419;2064;4,8;328;252;23.04.2025
https://basket-20.wbbasket.ru/vol3325/part332519/332519088/images/c246x328/1.webp;Проектор для фильмов T2 Ultra с Android 11, 1Гб+8Гб;73;332519088;https://www.wildberries.ru/catalog/332519088/detail.aspx;Wanbo;Китай;746598;451888,26;56;19684;4,7;237;309;25.02.2025
https://basket-15.wbbasket.ru/vol2328/part232891/232891757/images/c246x328/1.webp;Штатив для проектора;73;232891757;https://www.wildberries.ru/catalog/232891757/detail.aspx;;Китай;744805;6155,41;669;1127;4,8;8343;583;27.05.2024
https://basket-16.wbbasket.ru/vol2452/part245277/245277096/images/c246x328/1.webp;Домашний проектор для фильмов;73;245277096;https://www.wildberries.ru/catalog/245277096/detail.aspx;VIZZAR;Китай;740521;432772,01;165;5107;4,6;164;520;29.07.2024
https://basket-28.wbbasket.ru/vol5280/part528029/528029516/images/c246x328/1.webp;Портативный проектор для фильмов Cube 2 Pro;73;528029516;https://www.wildberries.ru/catalog/528029516/detail.aspx;Wanbo;Китай;738016;1308301,09;36;20225;4,8;99;56;05.11.2025
https://basket-29.wbbasket.ru/vol5548/part554845/554845339/images/c246x328/1.webp;Проектор для фильмов 4K Смарт ТВ;73;554845339;https://www.wildberries.ru/catalog/554845339/detail.aspx;;Китай;737364;1456743,51;187;3856;4,4;9;87;05.10.2025
https://basket-12.wbbasket.ru/vol1793/part179341/179341763/images/c246x328/1.webp;Мини проектор K45 AI 4K 1080P auto focus для фильмов;73;179341763;https://www.wildberries.ru/catalog/179341763/detail.aspx;QUINCE;Китай;729809;134624,96;93;8233;4,8;35;778;14.11.2023
https://basket-28.wbbasket.ru/vol5450/part545061/545061171/images/c246x328/1.webp;Проектор для фильмов;73;545061171;https://www.wildberries.ru/catalog/545061171/detail.aspx;LokeStar;Китай;728536;1810932,34;146;5179;4,6;50;93;29.09.2025
https://basket-31.wbbasket.ru/vol6137/part613783/613783510/images/c246x328/1.webp;Проектор Aimoto HomePlay с голосовым управлением;73;613783510;https://www.wildberries.ru/catalog/613783510/detail.aspx;AIMOTO;Китай;725564;3298018,18;61;13170;4,8;17;34;27.11.2025
https://basket-30.wbbasket.ru/vol5940/part594017/594017658/images/c246x328/1.webp;Домашний проектор для фильмов;73;594017658;https://www.wildberries.ru/catalog/594017658/detail.aspx;;Китай;721090;1944757,88;148;4526;4,6;148;44;17.11.2025
https://basket-25.wbbasket.ru/vol4356/part435688/435688755/images/c246x328/1.webp;Проектор Vali 1 (Android TV 11, 1080P, 1G+8G, 900ANSI);73;435688755;https://www.wildberries.ru/catalog/435688755/detail.aspx;Wanbo;Китай;714838;63824,82;38;18184;5;2;203;11.06.2025
https://basket-18.wbbasket.ru/vol3002/part300210/300210857/images/c246x328/1.webp;Проектор для фильмов c HDMI и USB;73;300210857;https://www.wildberries.ru/catalog/300210857/detail.aspx;MiniWonder;;714690;50153,68;116;6122;4,7;208;374;22.12.2024
https://basket-31.wbbasket.ru/vol6418/part641834/641834086/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр;73;641834086;https://www.wildberries.ru/catalog/641834086/detail.aspx;;Китай;711764;2182742,93;105;6698;4,7;19;34;27.11.2025
https://basket-18.wbbasket.ru/vol3032/part303233/303233002/images/c246x328/1.webp;Проектор Jenovox M3000 Pro (Changhong C300) Android;73;303233002;https://www.wildberries.ru/catalog/303233002/detail.aspx;QUINCE;Китай;711431;0;13;70539;5;3;380;16.12.2024
https://basket-31.wbbasket.ru/vol6200/part620003/620003507/images/c246x328/1.webp;Проектор для фильмов домашний на стену 4K UltraHD;73;620003507;https://www.wildberries.ru/catalog/620003507/detail.aspx;HOLOD STORE;;710848;1571348,21;102;6576;4,9;206;43;18.11.2025
https://basket-10.wbbasket.ru/vol1491/part149129/149129437/images/c246x328/1.webp;Проектор для фильмов с телефона домашний кинотеатр на стену;73;149129437;https://www.wildberries.ru/catalog/149129437/detail.aspx;Boxbi Price Store;Китай;708365;508825,56;104;6366;5;710;1035;02.03.2023
https://basket-16.wbbasket.ru/vol2567/part256799/256799148/images/c246x328/1.webp;Проектор для фильмов Домашний кинотеатр Android WiFi Full HD;73;256799148;https://www.wildberries.ru/catalog/256799148/detail.aspx;InTreid;Китай;707677;147140,76;109;7623;4,8;670;485;02.09.2024
https://basket-18.wbbasket.ru/vol3013/part301387/301387095/images/c246x328/1.webp;Проектор для фильмов Домашний кинотеатр Android WiFi Full HD;73;301387095;https://www.wildberries.ru/catalog/301387095/detail.aspx;InTreid;Китай;704635;30112,61;79;8828;4,8;670;383;13.12.2024
https://basket-12.wbbasket.ru/vol1815/part181567/181567593/images/c246x328/1.webp;Проектор Mozart 1;73;181567593;https://www.wildberries.ru/catalog/181567593/detail.aspx;Wanbo;Китай;701745;49245,26;23;28021;5;19;652;19.03.2024
